id_country,id_compound,toilet_fullclogged,privacy_wall,floor_holes,roof_solid,use_night,nightlight_rep,gender_separated,relationship,hh_cubicle_num,hh_cubicle,cleaning_arrangement,sharing,interface_rep,outflow_rep,D0,age_toilet,clean_comp,handwashing_obs,location,landlord_on_plot,bin_inside,tiling,visible_feces,insects_obs,solidwaste_obs,floor_obs,spotcheck,gender_respondent,gender_hh,hh_size,hhmember_rooms,B11_income_ppp,educ_hh,tenancy,electricity,water,lock,hh_cubicle_fct,cleanliness_rep,cleanliness_obs,cleanliness_cod
Bangladesh,2064,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,5,5,Yes,Shared,Pour-flush,Open drain,Pour flush to open drain,>9 years / don't know,Clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Male,4,4,450.8010735076231,None,Tenant (informal),Yes,Improved on premises,Outside and inside,5,Clean,Neither clean nor dirty,Neither clean nor dirty
Bangladesh,1658,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,4,4,Yes,Shared,Pour-flush,Don't know,Pour flush to don't know where,>9 years / don't know,Clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Male,8,4,1502.6702450254104,None,Tenant (informal),Yes,Improved on premises,Outside and inside,4,Dirty,Neither clean nor dirty,Dirty
Bangladesh,2065,No,Solid,No,Not solid,Yes,Yes,No,Other tenants/unknown,7,7,Yes,Shared,Pour-flush,Open drain,Pour flush to open drain,>9 years / don't know,Clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Male,Female,3,3,240.42723920406564,None,Tenant (informal),Yes,Improved on premises,Only inside,7,Clean,Neither clean nor dirty,Neither clean nor dirty
Bangladesh,1659,No,Solid,No,Solid,Yes,No,No,Other tenants/unknown,6,6,Yes,Shared,Pour-flush,Don't know,Pour flush to don't know where,4-6 years,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,Yes,Finished,Yes,Female,Male,5,5,360.6408588060985,Primary,Tenant (informal),Yes,Improved on premises,Outside and inside,6,Clean,Neither clean nor dirty,Very clean
Bangladesh,2066,No,Solid,No,Solid,Yes,No,No,Other tenants/unknown,6,6,Yes,Shared,Pour-flush,Open drain,Pour flush to open drain,>9 years / don't know,Clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Male,4,4,360.6408588060985,Primary,Tenant (informal),Yes,Improved on premises,Only inside,6,Clean,Neither clean nor dirty,Neither clean nor dirty
Bangladesh,1660,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,6,6,Yes,Shared,Pour-flush,Don't know,Pour flush to don't know where,1-3 years,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,Yes,No,Yes,Finished,Yes,Female,Male,6,6,270.48064410457386,None,Tenant (informal),Yes,Improved on premises,Outside and inside,6,Clean,Dirty,Very dirty
Bangladesh,1661,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,8,8,Yes,Shared,Pour-flush,Open drain,Pour flush to open drain,<1 Year,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,Yes,Finished,Yes,Female,Male,5,5,480.8544784081313,None,Tenant (informal),Yes,Improved on premises,Outside and inside,8,Clean,Neither clean nor dirty,Clean
Bangladesh,1895,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,2,2,Yes,Shared,Pour-flush,Open drain,Pour flush to open drain,>9 years / don't know,Clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Male,4,4,601.0680980101641,None,Tenant (informal),Yes,Improved on premises,Outside and inside,2,Clean,Neither clean nor dirty,NA
Bangladesh,1896,No,Solid,No,Solid,Yes,No,No,Other tenants/unknown,4,4,Yes,Shared,Pour-flush,Open drain,Pour flush to open drain,>9 years / don't know,Clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Male,Male,1,1,450.8010735076231,None,Tenant (informal),Yes,Improved on premises,No lock,4,Clean,Neither clean nor dirty,NA
Bangladesh,1897,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,4,4,Yes,Shared,Pour-flush,Open drain,Pour flush to open drain,>9 years / don't know,Clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Male,5,5,751.3351225127052,None,Tenant (informal),Yes,Improved on premises,Only inside,4,Clean,Neither clean nor dirty,NA
